Metric,Expert Policy,BC policy,,,,,
Eval_AverageReturn,4824.567383,4300.554199,,,,,
Eval_AverageReturn,4824.567383,4300.554199,,,,,
Eval_StdReturn,129.326004,577.8858032,,,,,
Eval_StdReturn,129.326004,577.8858032,,,,,
Eval_MaxReturn,5013.334473,4633.849121,,,,,
Eval_MinReturn,4616.239746,3012.886719,,,,,
Eval_MinReturn,4616.239746,3012.886719,,,,,
Eval_AverageEpLen,1000,939.6666667,,,,,
Train_AverageReturn,4713.65332,4713.65332,,,,,
Train_StdReturn,12.1965332,12.1965332,,,,,
Train_MaxReturn,4725.849609,4725.849609,,,,,
Train_MinReturn,4701.456543,4701.456543,,,,,
Train_AverageEpLen,1000,1000,,,,,
Train_EnvstepsSoFar,2000,2000,,,,,
TimeSinceStart,5.418884754,6.362878799,,,,,
Training LOss,-15.74954224,-15.74954224,,,,,
Initial_DataCollection_AverageReturn,4713.65332,4713.65332,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
